Coach,School,Conference,Season Wins,Season Losses,Season W-L%,AP Pre,AP Post,NCAA Tournament,Since,School Wins,School Losses,School W-L%,School NCAA,School S16,School FF,School Chmp,Career Wins,Career Losses,Career W-L%,Career NCAA,Career S16,Career FF,Career Chmp
Chris Crutchfield,Omaha,Summit,9.0,23.0,0.281,,,,2022-23,9.0,23.0,0.281,,,,,9,23,0.281,,,,
Carson Cunningham,Incarnate Word,Southland,12.0,19.0,0.387,,,,2018-19,42.0,105.0,0.286,,,,,42,105,0.286,,,,
Dan D'Antoni II,Marshall,Sun Belt,24.0,8.0,0.75,,,,2014-15,164.0,128.0,0.562,1.0,,,,164,128,0.562,1.0,,,
Keith Dambrot,Duquesne,A-10,20.0,13.0,0.606,,,,2017-18,91.0,84.0,0.52,,,,,416,257,0.618,3.0,,,
Scott Davenport,Bellarmine,A-Sun,15.0,18.0,0.455,,,,2020-21,49.0,39.0,0.557,,,,,49,39,0.557,,,,
Hubert Davis,UNC,ACC,20.0,13.0,0.606,1.0,,,2021-22,49.0,23.0,0.681,1.0,1.0,1.0,,49,23,0.681,1.0,1.0,1.0,
Kermit Davis Jr,Ole Miss,SEC,10.0,18.0,0.357,,,,2018-19,74.0,79.0,0.484,1.0,,,,477,317,0.601,6.0,,,
Mike Davis,Detroit Mercy,Horizon,14.0,19.0,0.424,,,,2018-19,59.0,88.0,0.401,,,,,411,329,0.555,9.0,1.0,1.0,
Nathan Davis,Bucknell,Patriot,12.0,20.0,0.375,,,,2015-16,129.0,115.0,0.529,2.0,,,,129,115,0.529,2.0,,,
Johnny Dawkins Jr,UCF,AAC,19.0,15.0,0.559,,,,2016-17,131.0,87.0,0.601,1.0,,,,287,202,0.587,2.0,1.0,,
Ed DeChellis,Navy,Patriot,18.0,13.0,0.581,,,,2011-12,168.0,193.0,0.465,,,,,387,424,0.477,2.0,,,
Travis DeCuire,Montana,Big Sky,17.0,14.0,0.548,,,,2014-15,177.0,112.0,0.612,2.0,,,,177,112,0.612,2.0,,,
Darian DeVries,Drake,MVC,27.0,8.0,0.771,,,Lost First Round,2018-19,122.0,48.0,0.718,2.0,,,,122,48,0.718,2.0,,,
Tom Devitt,Hartford,Ind,5.0,23.0,0.179,,,,2022-23,5.0,23.0,0.179,,,,,5,23,0.179,,,,
Dave Dickerson,USC Upstate,Big South,16.0,16.0,0.5,,,,2018-19,55.0,97.0,0.362,,,,,123,181,0.405,,,,
Jamie Dixon,TCU,Big 12,22.0,13.0,0.629,14.0,22.0,Lost Second Round,2016-17,139.0,97.0,0.589,3.0,,,,467,220,0.68,14.0,3.0,,
Juan Dixon,Coppin State,MEAC,9.0,23.0,0.281,,,,2017-18,51.0,131.0,0.28,,,,,51,131,0.28,,,,
Steve Donahue,Penn,Ivy,17.0,13.0,0.567,,,,2015-16,112.0,93.0,0.546,1.0,,,,312,307,0.504,4.0,1.0,,
Bryce Drew,Grand Canyon,WAC,24.0,12.0,0.667,,,Lost First Round,2020-21,64.0,27.0,0.703,2.0,,,,228,135,0.628,5.0,,,
Scott Drew,Baylor,Big 12,23.0,11.0,0.676,5.0,11.0,Lost Second Round,2003-04,422.0,233.0,0.644,11.0,5.0,1.0,1.0,442,244,0.644,11.0,5.0,1.0,1.0
Matthew Driscoll,North Florida,A-Sun,14.0,17.0,0.452,,,,2009-10,217.0,231.0,0.484,1.0,,,,217,231,0.484,1.0,,,
Eric Duft,Weber State,Big Sky,18.0,15.0,0.545,,,,2022-23,18.0,15.0,0.545,,,,,18,15,0.545,,,,
Baker Dunleavy,Quinnipiac,MAAC,20.0,12.0,0.625,,,,2017-18,86.0,93.0,0.48,,,,,86,93,0.48,,,,
John Dunne,Marist,MAAC,13.0,20.0,0.394,,,,2018-19,58.0,87.0,0.4,,,,,211,312,0.403,1.0,,,
Fran Dunphy,La Salle,A-10,15.0,19.0,0.441,,,,2022-23,15.0,19.0,0.441,,,,,595,344,0.634,17.0,,,
Pat Duquette,UMass-Lowell,AEC,26.0,8.0,0.765,,,,2013-14,136.0,163.0,0.455,,,,,136,163,0.455,,,,
Brian Dutcher,San Diego State,MWC,32.0,7.0,0.821,19.0,18.0,Lost National Final,2017-18,151.0,47.0,0.763,4.0,1.0,1.0,,151,47,0.763,4.0,1.0,1.0,
Brian Earl,Cornell,Ivy,17.0,11.0,0.607,,,,2016-17,74.0,95.0,0.438,,,,,74,95,0.438,,,,
Dan Earl,Chattanooga,Southern,18.0,17.0,0.514,,,,2022-23,18.0,17.0,0.514,,,,,91,156,0.368,,,,
Cliff Ellis,Coastal Carolina,Sun Belt,11.0,20.0,0.355,,,,2007-08,294.0,223.0,0.569,2.0,,,,830,561,0.597,10.0,3.0,,
Andy Enfield,USC,Pac-12,22.0,11.0,0.667,,,Lost First Round,2013-14,205.0,129.0,0.614,5.0,1.0,,,246,157,0.61,6.0,2.0,,
Dan Engelstad,Mount St. Mary's,MAAC,13.0,20.0,0.394,,,,2018-19,59.0,90.0,0.396,1.0,,,,59,90,0.396,1.0,,,
Jim Engles,Columbia,Ivy,7.0,22.0,0.241,,,,2016-17,46.0,121.0,0.275,,,,,157,260,0.376,,,,
Kim English,George Mason,A-10,20.0,13.0,0.606,,,,2021-22,34.0,29.0,0.54,,,,,34,29,0.54,,,,
Patrick Ewing,Georgetown,Big East,7.0,25.0,0.219,,,,2017-18,75.0,109.0,0.408,1.0,,,,75,109,0.408,1.0,,,
Quinton Ferrell,Presbyterian,Big South,5.0,27.0,0.156,,,,2019-20,34.0,84.0,0.288,,,,,34,84,0.288,,,,
Jim Ferry,UMBC,AEC,18.0,14.0,0.562,,,,2021-22,36.0,28.0,0.562,,,,,257,288,0.472,2.0,,,
Mark Few,Gonzaga,WCC,31.0,6.0,0.838,2.0,9.0,Lost Regional Final,1999-00,689.0,135.0,0.836,23.0,12.0,2.0,,689,135,0.836,23.0,12.0,2.0,
Matt Figger,Texas-Rio Grande Valley,WAC,15.0,17.0,0.469,,,,2021-22,23.0,40.0,0.365,,,,,99,91,0.521,,,,
Dane Fischer,William & Mary,CAA,13.0,20.0,0.394,,,,2019-20,46.0,68.0,0.404,,,,,46,68,0.404,,,,
Steve Forbes,Wake Forest,ACC,19.0,14.0,0.576,,,,2020-21,50.0,40.0,0.556,,,,,180,83,0.684,1.0,,,
Dana Ford,Missouri State,MVC,17.0,15.0,0.531,,,,2018-19,89.0,66.0,0.574,,,,,146,131,0.527,,,,
Geno Ford,Stony Brook,CAA,11.0,22.0,0.333,,,,2019-20,58.0,62.0,0.483,,,,,172,185,0.482,,,,
Travis Ford,Saint Louis,A-10,21.0,12.0,0.636,,,,2016-17,133.0,89.0,0.599,1.0,,,,411,315,0.566,7.0,,,
Mark Fox,California,Pac-12,3.0,29.0,0.094,,,,2019-20,38.0,87.0,0.304,,,,,324,263,0.552,5.0,,,
Joe Gallo,Merrimack,NEC,18.0,16.0,0.529,,,,2019-20,61.0,52.0,0.54,,,,,61,52,0.54,,,,
Eran Ganot,Hawaii,Big West,22.0,11.0,0.667,,,,2015-16,136.0,88.0,0.607,1.0,,,,139,90,0.607,1.0,,,
Greg Gard,Wisconsin,Big Ten,20.0,15.0,0.571,,,,2015-16,164.0,93.0,0.638,5.0,2.0,,,164,93,0.638,5.0,2.0,,
Greg Gary,Mercer,Southern,14.0,19.0,0.424,,,,2019-20,65.0,62.0,0.512,,,,,81,106,0.433,,,,
Dennis Gates,Missouri,SEC,25.0,10.0,0.714,,23.0,Lost Second Round,2022-23,25.0,10.0,0.714,1.0,,,,75,50,0.6,2.0,,,
Kyle Gerdeman,Lindenwood,OVC,11.0,21.0,0.344,,,,2022-23,11.0,21.0,0.344,,,,,11,21,0.344,,,,
Chris Gerlufsen,San Francisco,WCC,20.0,14.0,0.588,,,,2022-23,20.0,14.0,0.588,,,,,28,19,0.596,,,,
Gerald Gillion,Chicago State,Ind,11.0,20.0,0.355,,,,2021-22,18.0,45.0,0.286,,,,,18,45,0.286,,,,
Billy Gillispie,Tarleton State,WAC,17.0,17.0,0.5,,,,2020-21,41.0,44.0,0.482,,,,,189,152,0.554,4.0,1.0,,
Corey Gipson,Northwestern State,Southland,22.0,11.0,0.667,,,,2022-23,22.0,11.0,0.667,,,,,22,11,0.667,,,,
Todd Golden,Florida,SEC,16.0,17.0,0.485,,,,2022-23,16.0,17.0,0.485,,,,,73,53,0.579,1.0,,,
Joe Golding,UTEP,CUSA,14.0,18.0,0.438,,,,2021-22,34.0,32.0,0.515,,,,,168,146,0.535,2.0,,,
Stan Gouard,Southern Indiana,OVC,16.0,17.0,0.485,,,,2022-23,16.0,17.0,0.485,,,,,16,17,0.485,,,,
Anthony Grant,Dayton,A-10,22.0,12.0,0.647,24.0,,,2017-18,124.0,64.0,0.66,,,,,317,174,0.646,3.0,,,
Earl Grant,Boston College,ACC,16.0,17.0,0.485,,,,2021-22,29.0,37.0,0.439,,,,,156,126,0.553,1.0,,,
Jared Grasso,Bryant,AEC,17.0,13.0,0.567,,,,2018-19,79.0,67.0,0.541,1.0,,,,80,89,0.473,1.0,,,
Justin Gray,Western Carolina,Southern,18.0,16.0,0.529,,,,2021-22,29.0,37.0,0.439,,,,,29,37,0.439,,,,
Brian Gregory,South Florida,AAC,14.0,18.0,0.438,,,,2017-18,79.0,107.0,0.425,,,,,327,287,0.533,2.0,,,
John Groce,Akron,MAC,22.0,11.0,0.667,,,,2017-18,116.0,70.0,0.624,1.0,,,,296,201,0.596,4.0,1.0,,
Jerod Haase,Stanford,Pac-12,14.0,19.0,0.424,,,,2016-17,112.0,109.0,0.507,,,,,192,162,0.542,1.0,,,
A.W. Hamilton,Eastern Kentucky,A-Sun,23.0,14.0,0.622,,,,2018-19,87.0,74.0,0.54,,,,,87,74,0.54,,,,
Leonard Hamilton ,Florida State,ACC,9.0,23.0,0.281,,,,2002-03,426.0,265.0,0.616,8.0,4.0,,,626,475,0.569,11.0,5.0,,
Anfernee Hardaway,Memphis,AAC,26.0,9.0,0.743,,24.0,Lost First Round,2018-19,111.0,52.0,0.681,2.0,,,,111,52,0.681,2.0,,,
Tavaras Hardy,Loyola (MD),Patriot,13.0,20.0,0.394,,,,2018-19,59.0,85.0,0.41,,,,,59,85,0.41,,,,
Ray Harper,Jacksonville State,A-Sun,13.0,18.0,0.419,,,,2016-17,132.0,94.0,0.584,2.0,,,,221,158,0.583,4.0,,,
Jonas Hayes,Georgia State,Sun Belt,10.0,21.0,0.323,,,,2022-23,10.0,21.0,0.323,,,,,14,21,0.4,,,,
Stan Heath,Eastern Michigan,MAC,8.0,23.0,0.258,,,,2021-22,18.0,44.0,0.29,,,,,227,251,0.475,4.0,1.0,,
Greg Heiar,New Mexico State,WAC,9.0,15.0,0.375,,,,2022-23,9.0,15.0,0.375,,,,,9,15,0.375,,,,
Eric Henderson,South Dakota State,Summit,19.0,13.0,0.594,,,,2019-20,87.0,35.0,0.713,1.0,,,,87,35,0.713,1.0,,,
Mitch Henderson,Princeton,Ivy,23.0,9.0,0.719,,,Lost Regional Semifinal,2011-12,208.0,117.0,0.64,2.0,1.0,,,208,117,0.64,2.0,1.0,,
Steve Henson,UTSA,CUSA,10.0,22.0,0.312,,,,2016-17,99.0,123.0,0.446,,,,,99,123,0.446,,,,
Bill Herrion,New Hampshire,AEC,15.0,15.0,0.5,,,,2005-06,227.0,303.0,0.428,,,,,464,472,0.496,3.0,,,
Talvin Hester,Louisiana Tech,CUSA,15.0,18.0,0.455,,,,2022-23,15.0,18.0,0.455,,,,,15,18,0.455,,,,
Fred Hoiberg,Nebraska,Big Ten,16.0,16.0,0.5,,,,2019-20,40.0,83.0,0.325,,,,,155,139,0.527,4.0,1.0,,
Shaheen Holloway,Seton Hall,Big East,17.0,16.0,0.515,,,,2022-23,17.0,16.0,0.515,,,,,81,70,0.536,1.0,1.0,,
Chris Holtmann,Ohio State,Big Ten,16.0,19.0,0.457,,,,2017-18,123.0,75.0,0.621,4.0,,,,237,160,0.597,7.0,1.0,,
Jason Hooten,Sam Houston,WAC,26.0,8.0,0.765,,,,2010-11,261.0,169.0,0.607,,,,,261,169,0.607,,,,
Mike Hopkins,Washington,Pac-12,16.0,16.0,0.5,,,,2017-18,101.0,91.0,0.526,,,,,105,96,0.522,1.0,,,
Darrin Horn,Northern Kentucky,Horizon,22.0,13.0,0.629,,,Lost First Round,2019-20,79.0,45.0,0.637,1.0,,,,250,156,0.616,2.0,1.0,,
Juwan Howard,Michigan,Big Ten,18.0,16.0,0.529,22.0,,,2019-20,79.0,48.0,0.622,2.0,2.0,,,79,48,0.622,2.0,2.0,,
Michael Huger,Bowling Green State,MAC,11.0,20.0,0.355,,,,2015-16,126.0,125.0,0.502,,,,,126,125,0.502,,,,
Bob Huggins,West Virginia,Big 12,19.0,15.0,0.559,,,Lost First Round,2007-08,345.0,203.0,0.63,11.0,5.0,1.0,,863,389,0.689,26.0,9.0,2.0,
Otis Hughley Jr.,Alabama A&M,SWAC,15.0,18.0,0.455,,,,2022-23,15.0,18.0,0.455,,,,,15,18,0.455,,,,
Ron Hunter,Tulane,AAC,20.0,11.0,0.645,,,,2019-20,56.0,57.0,0.496,,,,,448,331,0.575,4.0,,,
Bobby Hurley,Arizona State,Pac-12,23.0,13.0,0.639,,,Lost First Round,2015-16,141.0,113.0,0.555,3.0,,,,183,133,0.579,4.0,,,
Dan Hurley,UConn,Big East,31.0,8.0,0.795,,10.0,Won National Final,2018-19,104.0,55.0,0.654,3.0,1.0,1.0,1.0,255,160,0.614,5.0,1.0,1.0,1.0
Justin Hutson,Fresno State,MWC,11.0,20.0,0.355,,,,2018-19,80.0,73.0,0.523,,,,,80,73,0.523,,,,
Martin Ingelsby,Delaware,CAA,17.0,16.0,0.515,,,,2016-17,112.0,103.0,0.521,1.0,,,,112,103,0.521,1.0,,,
George Ivory,Mississippi Valley State,SWAC,5.0,27.0,0.156,,,,2022-23,5.0,27.0,0.156,,,,,145,296,0.329,1.0,,,
Tom Izzo,Michigan State,Big Ten,21.0,13.0,0.618,,,Lost Regional Semifinal,1995-96,687.0,280.0,0.71,25.0,15.0,8.0,1.0,687,280,0.71,25.0,15.0,8.0,1.0
Donte Jackson,Grambling,SWAC,24.0,9.0,0.727,,,,2017-18,99.0,87.0,0.532,,,,,99,87,0.532,,,,
Ben Jacobson,Northern Iowa,MVC,14.0,18.0,0.438,,,,2006-07,335.0,219.0,0.605,4.0,1.0,,,335,219,0.605,4.0,1.0,,
Nate James,Austin Peay,A-Sun,9.0,22.0,0.29,,,,2021-22,21.0,39.0,0.35,,,,,21,39,0.35,,,,
Chris Jans,Mississippi State,SEC,21.0,13.0,0.618,,,Lost First Four,2022-23,21.0,13.0,0.618,1.0,,,,164,57,0.742,4.0,,,
Rob Jeter,Western Illinois,Summit,16.0,14.0,0.533,,,,2020-21,39.0,45.0,0.464,,,,,223,215,0.509,2.0,,,
Ben Johnson,Minnesota,Big Ten,9.0,22.0,0.29,,,,2021-22,22.0,39.0,0.361,,,,,22,39,0.361,,,,
Royce Johnson,UT Arlington,WAC,2.0,5.0,0.286,,,,2022-23,2.0,5.0,0.286,,,,,2,5,0.286,,,,
Stan Johnson,Loyola Marymount,WCC,19.0,12.0,0.613,,,,2020-21,43.0,39.0,0.524,,,,,43,39,0.524,,,,
Terrence Johnson,Texas State,Sun Belt,16.0,19.0,0.457,,,,2020-21,55.0,34.0,0.618,,,,,55,34,0.618,,,,
Trent Johnson,Cal State Northridge,Big West,7.0,25.0,0.219,,,,2021-22,14.0,48.0,0.226,,,,,290,313,0.481,5.0,2.0,,
Donnie Jones ,Stetson,A-Sun,17.0,14.0,0.548,,,,2019-20,56.0,65.0,0.463,,,,,211,194,0.521,,,,
James Jones,Yale,Ivy,21.0,9.0,0.7,,,,1999-00,373.0,301.0,0.553,3.0,,,,373,301,0.553,3.0,,,
Jeff Jones,Old Dominion,Sun Belt,19.0,12.0,0.613,,,,2013-14,200.0,125.0,0.615,1.0,,,,557,412,0.575,8.0,2.0,,
Joe Jones,Boston University,Patriot,15.0,17.0,0.469,,,,2011-12,202.0,174.0,0.537,,,,,288,282,0.505,,,,
Johnny Jones,Texas Southern,SWAC,14.0,21.0,0.4,,,Lost First Four,2018-19,90.0,73.0,0.552,3.0,,,,385,307,0.556,6.0,,,
Mike Jones,UNC Greensboro,Southern,20.0,12.0,0.625,,,,2021-22,37.0,27.0,0.578,,,,,211,177,0.544,1.0,,,
Robert Jones,Norfolk State,MEAC,22.0,11.0,0.667,,,,2013-14,188.0,137.0,0.578,2.0,,,,188,137,0.578,2.0,,,
Mike Jordan,Lafayette,Patriot,9.0,20.0,0.31,,,,2022-23,9.0,20.0,0.31,,,,,9,20,0.31,,,,
Edward Joyner Jr,Hampton,CAA,8.0,24.0,0.25,,,,2009-10,213.0,233.0,0.478,3.0,,,,213,233,0.478,3.0,,,
Jon Judkins,Utah Tech,WAC,14.0,19.0,0.424,,,,2020-21,35.0,50.0,0.412,,,,,35,50,0.412,,,,
Greg Kampe,Oakland,Horizon,13.0,19.0,0.406,,,,1999-00,413.0,361.0,0.534,3.0,,,,413,361,0.534,3.0,,,
Kevin Keatts,NC State,ACC,23.0,11.0,0.676,,,Lost First Round,2017-18,113.0,79.0,0.589,2.0,,,,185,107,0.634,4.0,,,
Kyle Keller ,Stephen F. Austin,WAC,19.0,13.0,0.594,,,,2016-17,145.0,69.0,0.678,1.0,,,,145,69,0.678,1.0,,,
Pat Kelsey,College of Charleston,CAA,31.0,4.0,0.886,,,Lost First Round,2021-22,48.0,19.0,0.716,1.0,,,,234,114,0.672,3.0,,,
Andy Kennedy,UAB,CUSA,29.0,10.0,0.744,,,,2020-21,78.0,25.0,0.757,1.0,,,,344,194,0.639,3.0,,,
Brian Kennedy,NJIT,AEC,7.0,23.0,0.233,,,,2016-17,81.0,123.0,0.397,,,,,81,123,0.397,,,,
Dustin Kerns,Appalachian State,Sun Belt,16.0,16.0,0.5,,,,2019-20,70.0,58.0,0.547,1.0,,,,101,95,0.515,1.0,,,
David Kiefer,Southeastern Louisiana,Southland,18.0,14.0,0.562,,,,2019-20,53.0,70.0,0.431,,,,,53,70,0.431,,,,
Dwayne Killings,Albany (NY),AEC,8.0,23.0,0.258,,,,2021-22,21.0,41.0,0.339,,,,,21,41,0.339,,,,
Eric Konkol,Tulsa,AAC,5.0,25.0,0.167,,,,2022-23,5.0,25.0,0.167,,,,,158,100,0.612,,,,
Brad Korn,Southeast Missouri State,OVC,19.0,17.0,0.528,,,Lost First Four,2020-21,44.0,51.0,0.463,1.0,,,,44,51,0.463,1.0,,,
Tod Kowalczyk,Toledo,MAC,27.0,8.0,0.771,,,,2010-11,258.0,169.0,0.604,,,,,394,281,0.584,,,,
Chris Kraus,Stonehill,NEC,14.0,17.0,0.452,,,,2022-23,14.0,17.0,0.452,,,,,14,17,0.452,,,,
Rob Krimmel,Saint Francis (PA),NEC,13.0,18.0,0.419,,,,2012-13,147.0,188.0,0.439,,,,,147,188,0.439,,,,
Kevin Kruger,UNLV,MWC,19.0,13.0,0.594,,,,2021-22,37.0,27.0,0.578,,,,,37,27,0.578,,,,
Jay Ladner,Southern Miss,Sun Belt,25.0,8.0,0.758,,,,2019-20,49.0,73.0,0.402,,,,,125,161,0.437,,,,
Billy Lange,St. Joseph's,A-10,16.0,17.0,0.485,,,,2019-20,38.0,77.0,0.33,,,,,130,192,0.404,,,,
Matt Langel,Colgate,Patriot,26.0,9.0,0.743,,,Lost First Round,2011-12,202.0,174.0,0.537,4.0,,,,202,174,0.537,4.0,,,
Rob Lanier,SMU,AAC,10.0,22.0,0.312,,,,2022-23,10.0,22.0,0.312,,,,,121,122,0.498,2.0,,,
Jim Larranaga,Miami (FL),ACC,29.0,8.0,0.784,,16.0,Lost National Semifinal,2011-12,255.0,149.0,0.631,6.0,4.0,1.0,,697,458,0.603,11.0,5.0,2.0,
Anthony Latina,Sacred Heart,NEC,16.0,17.0,0.485,,,,2013-14,125.0,177.0,0.414,,,,,125,177,0.414,,,,
Steve Lavin,San Diego,WCC,11.0,20.0,0.355,,,,2022-23,11.0,20.0,0.355,,,,,248,170,0.593,8.0,5.0,,
Shantay Legans,Portland,WCC,14.0,19.0,0.424,,,,2021-22,33.0,34.0,0.493,,,,,108,83,0.565,1.0,,,
Grant Leonard,Queens (NC),A-Sun,18.0,15.0,0.545,,,,2022-23,18.0,15.0,0.545,,,,,18,15,0.545,,,,
Jim Les,UC-Davis,Big West,18.0,14.0,0.562,,,,2011-12,175.0,186.0,0.485,1.0,,,,329,326,0.502,2.0,1.0,,
Michael Lewis,Ball State,MAC,20.0,12.0,0.625,,,,2022-23,20.0,12.0,0.625,,,,,20,12,0.625,,,,
Jeff Linder,Wyoming,MWC,9.0,22.0,0.29,,,,2020-21,48.0,42.0,0.533,1.0,,,,128,92,0.582,1.0,,,
Tommy Lloyd,Arizona,Pac-12,28.0,7.0,0.8,17.0,8.0,Lost First Round,2021-22,61.0,11.0,0.847,2.0,1.0,,,61,11,0.847,2.0,1.0,,
Ryan Looney,Idaho State,Big Sky,11.0,21.0,0.344,,,,2019-20,39.0,77.0,0.336,,,,,39,77,0.336,,,,
Matt Lottich,Valparaiso,MVC,11.0,21.0,0.344,,,,2016-17,108.0,117.0,0.48,,,,,108,117,0.48,,,,
Bart Lundy,Milwaukee,Horizon,22.0,12.0,0.647,,,,2022-23,22.0,12.0,0.647,,,,,118,99,0.544,,,,
Steve Lutz,Texas A&M-Corpus Christi,Southland,24.0,11.0,0.686,,,Lost First Round,2021-22,47.0,23.0,0.671,2.0,,,,47,23,0.671,2.0,,,
Carmen Maciariello,Siena,MAAC,17.0,15.0,0.531,,,,2019-20,64.0,44.0,0.593,,,,,64,44,0.593,,,,
Tony Madlock,Alabama State,SWAC,8.0,23.0,0.258,,,,2022-23,8.0,23.0,0.258,,,,,24,43,0.358,,,,
Mark Madsen,Utah Valley,WAC,28.0,9.0,0.757,,,,2019-20,70.0,51.0,0.579,,,,,70,51,0.579,,,,
Mike Magpayo,UC-Riverside,Big West,22.0,12.0,0.647,,,,2020-21,52.0,32.0,0.619,,,,,52,32,0.619,,,,
Chris Markwood,Maine,AEC,13.0,17.0,0.433,,,,2022-23,13.0,17.0,0.433,,,,,13,17,0.433,,,,
Bob Marlin,Louisiana,Sun Belt,26.0,8.0,0.765,,,Lost First Round,2010-11,247.0,175.0,0.585,2.0,,,,472,306,0.607,4.0,,,
Tim Marrion,Idaho,Big Sky,0.0,1.0,0.0,,,,2022-23,0.0,1.0,0.0,,,,,0,1,0.0,,,,
Erik Martin,South Carolina State,MEAC,5.0,26.0,0.161,,,,2022-23,5.0,26.0,0.161,,,,,5,26,0.161,,,,
Frank Martin,UMass,A-10,15.0,16.0,0.484,,,,2022-23,15.0,16.0,0.484,,,,,303,217,0.583,5.0,2.0,1.0,
Mike Martin,Brown,Ivy,14.0,13.0,0.519,,,,2012-13,135.0,153.0,0.469,,,,,135,153,0.469,,,,
Bashir Mason,St. Peter's,MAAC,14.0,18.0,0.438,,,,2022-23,14.0,18.0,0.438,,,,,179,148,0.547,,,,
Thad Matta,Butler,Big East,14.0,18.0,0.438,,,,2000-01,38.0,26.0,0.594,1.0,,,,453,172,0.725,13.0,6.0,2.0,
Dusty May,Florida Atlantic,CUSA,35.0,4.0,0.897,,25.0,Lost National Semifinal,2018-19,101.0,60.0,0.627,1.0,1.0,1.0,,101,60,0.627,1.0,1.0,1.0,
Jay McAuley,Wofford,Southern,5.0,4.0,0.556,,,,2019-20,58.0,42.0,0.58,,,,,58,42,0.58,,,,
Fran McCaffery,Iowa,Big Ten,19.0,14.0,0.576,,,Lost First Round,2010-11,261.0,176.0,0.597,7.0,,,,512,353,0.592,12.0,,,
Grant McCasland,North Texas,CUSA,31.0,7.0,0.816,,,,2017-18,135.0,65.0,0.675,1.0,,,,155,77,0.668,1.0,,,
Robert McCullum,Florida A&M,SWAC,7.0,22.0,0.241,,,,2017-18,61.0,110.0,0.357,,,,,145,231,0.386,,,,
Greg McDermott,Creighton,Big East,24.0,13.0,0.649,9.0,,Lost Regional Final,2010-11,300.0,150.0,0.667,8.0,2.0,,,449,281,0.615,11.0,2.0,,
Nick McDevitt,Middle Tennessee,CUSA,19.0,14.0,0.576,,,,2018-19,69.0,87.0,0.442,,,,,167,153,0.522,1.0,,,
Mike McGarvey,Lafayette,Patriot,2.0,3.0,0.4,,,,2022-23,2.0,3.0,0.4,,,,,2,3,0.4,,,,
Kevin McGeehan,Campbell,Big South,16.0,18.0,0.471,,,,2013-14,155.0,164.0,0.486,,,,,155,164,0.486,,,,
Ritchie McKay,Liberty,A-Sun,27.0,9.0,0.75,,,,2007-08,226.0,113.0,0.667,2.0,,,,391,271,0.591,3.0,,,
Aaron McKie,Temple,AAC,16.0,16.0,0.5,,,,2019-20,52.0,56.0,0.481,,,,,52,56,0.481,,,,
Matt McKillop,Davidson,A-10,16.0,16.0,0.5,,,,2022-23,16.0,16.0,0.5,,,,,16,16,0.5,,,,
David McLaughlin,Dartmouth,Ivy,10.0,18.0,0.357,,,,2016-17,56.0,110.0,0.337,,,,,56,110,0.337,,,,
Matt McMahon,LSU,SEC,14.0,19.0,0.424,,,,2022-23,14.0,19.0,0.424,,,,,168,86,0.661,3.0,,,
Bucky McMillan,Samford,Southern,21.0,11.0,0.656,,,,2020-21,48.0,35.0,0.578,,,,,48,35,0.578,,,,
Niko Medved,Colorado State,MWC,15.0,18.0,0.455,,,,2018-19,92.0,64.0,0.59,1.0,,,,171,152,0.529,1.0,,,
Marvin Menzies,Kansas City,Summit,11.0,21.0,0.344,,,,2022-23,11.0,21.0,0.344,,,,,257,180,0.588,5.0,,,
Tim Miles,San Jose State,MWC,21.0,14.0,0.6,,,,2021-22,29.0,37.0,0.439,,,,,252,259,0.493,2.0,,,
Archie Miller,Rhode Island,A-10,9.0,22.0,0.29,,,,2022-23,9.0,22.0,0.29,,,,,215,143,0.601,4.0,1.0,,
Sean Miller ,Xavier,Big East,27.0,10.0,0.73,,13.0,Lost Regional Semifinal,2004-05,147.0,57.0,0.721,5.0,3.0,,,449,166,0.73,12.0,8.0,,
Wes Miller,Cincinnati,AAC,23.0,13.0,0.639,,,,2021-22,41.0,28.0,0.594,,,,,226,163,0.581,2.0,,,
Paul Mills,Oral Roberts,Summit,30.0,5.0,0.857,,,Lost First Round,2017-18,106.0,84.0,0.558,2.0,1.0,,,106,84,0.558,2.0,1.0,,
Jordan Mincy,Jacksonville,A-Sun,13.0,16.0,0.448,,,,2021-22,34.0,26.0,0.567,,,,,34,26,0.567,,,,
Dan Monson,Long Beach State,Big West,17.0,16.0,0.515,,,,2007-08,254.0,258.0,0.496,1.0,,,,424,381,0.527,3.0,1.0,,
Chris Mooney,Richmond,A-10,13.0,14.0,0.481,,,,2005-06,325.0,258.0,0.557,3.0,1.0,,,343,270,0.56,3.0,1.0,,
Mike Morrell,UNC Asheville,Big South,27.0,8.0,0.771,,,Lost First Round,2018-19,73.0,76.0,0.49,1.0,,,,73,76,0.49,1.0,,,
Porter Moser,Oklahoma,Big 12,15.0,17.0,0.469,,,,2021-22,34.0,33.0,0.507,,,,,327,275,0.543,2.0,2.0,1.0,
LeVelle Moton,North Carolina Central,MEAC,18.0,12.0,0.6,,,,2009-10,246.0,184.0,0.572,4.0,,,,246,184,0.572,4.0,,,
Bryan Mullins,Southern Illinois,MVC,23.0,10.0,0.697,,,,2019-20,67.0,55.0,0.549,,,,,67,55,0.549,,,,
Eric Musselman,Arkansas,SEC,22.0,14.0,0.611,10.0,,Lost Regional Semifinal,2019-20,95.0,42.0,0.693,3.0,3.0,,,205,76,0.73,6.0,4.0,,
Scott Nagy,Wright State,Horizon,18.0,15.0,0.545,,,,2016-17,149.0,78.0,0.656,2.0,,,,339,241,0.584,5.0,,,
